,CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
423,180755,1,2005-11-19,BCRB,X015184128838,,2005-11-19
424,259829,2,2008-03-07,ABAN,D065541653600,,2008-03-07
425,662981,2,2009-03-03,MWBA,R090685935512,,2009-03-03
426,675875,1,2005-04-11,WIRT,V045446009442,,2005-04-11
427,485365,1,1999-11-27,MWBC,Y026071819925,,1999-11-27
428,34572,2,2008-09-17,BCRB,B055762752526,,2008-09-17
429,161955,1,2009-01-13,WBRI,V009092646622,,2009-01-13
430,906009,1,2002-07-17,WIRT,A088402234490,,2002-07-17
431,616437,1,2004-12-14,APKN,G081565732555,,2004-12-14
432,983950,2,2000-03-24,NOBT,U045415744867,,2000-03-24
433,137924,2,2007-04-30,WIRT,X002293765031,,2007-04-30
434,947035,1,2000-02-20,WROM,J063296501389,,2000-02-20
435,580909,1,2005-07-03,MWAS,J037685050373,,2005-07-03
436,32517,2,2002-06-26,AOTH,H051792913503,,2002-06-26
437,741598,2,2001-09-15,AIND,Q016150865898,,2001-09-15
438,986890,2,2003-10-23,MOTH,N012106758458,,2003-10-23
439,625004,1,2008-03-15,WROM,F011614995802,,2008-03-15
440,897460,2,2008-08-10,OOTH,T088461658807,,2008-08-10
441,951716,1,2007-02-01,WOTH,H028653313898,,2007-02-01
442,563451,1,2006-07-19,WIRT,E047436963737,,2006-07-19
443,311255,2,2009-08-26,NOBT,G003904541844,,2009-08-26
444,601190,1,2007-04-03,APKN,Y054967331703,,2007-04-03
445,312018,2,1999-08-25,BAFR,K028797197391,,1999-08-25
446,380785,1,2002-05-24,MWAS,G034335870033,,2002-05-24
447,871541,2,2009-08-22,OOTH,B079212267334,,2009-08-22
448,261119,1,2007-07-14,BAFR,P072930722481,,2007-07-14
449,152946,1,2005-10-12,WROM,B083355176801,,2005-10-12
450,778189,2,2002-09-04,AOTH,R036876616149,,2002-09-04
451,948010,1,2006-11-18,WROM,Y089162837635,,2006-11-18
452,53639,2,2001-01-17,CHNE,B008138222402,,2001-01-17
453,282921,1,2009-07-15,OOTH,M027837427588,,2009-07-15
454,992331,2,2006-01-05,BAFR,Q000523888240,,2006-01-05
455,244657,2,2002-04-23,WBRI,H060707288819,,2002-04-23
456,288912,1,2006-03-10,WROM,N048941650550,,2006-03-10
457,647811,1,2006-05-24,MOTH,Y003283235498,,2006-05-24
458,822010,1,2003-01-19,WROM,X093091750132,,2003-01-19
459,401650,2,2006-10-15,WBRI,M063490821928,,2006-10-15
460,982048,2,2008-10-01,WIRI,S018835213408,,2008-10-01
461,109200,2,2008-08-09,ABAN,N053378718909,,2008-08-09
462,939948,1,1999-11-15,OOTH,D012188242383,,1999-11-15
463,77296,1,2007-06-30,REFU,R059449166410,,2007-06-30
464,583209,1,2009-07-02,WROM,H031895823080,,2009-07-02
465,193201,1,2005-02-07,MOTH,C001703711126,,2005-02-07
466,582902,1,2006-02-13,APKN,A010069569335,,2006-02-13
467,942509,1,2006-02-05,MWAS,B053854775398,,2006-02-05
468,73142,1,2006-04-14,WROM,B090324946866,,2006-04-14
469,817309,1,2005-07-12,BAFR,I081122421994,,2005-07-12
470,269791,1,2001-08-07,AOTH,P089499978552,,2001-08-07
471,947752,2,2006-02-15,AIND,T003700624866,,2006-02-15
472,472494,1,2001-11-08,REFU,W075132322719,,2001-11-08
473,893776,1,2002-11-03,AOTH,E090439226140,,2002-11-03
474,871218,2,2005-04-14,MWAS,J041142256325,,2005-04-14
475,978638,1,2005-02-03,WIRI,W042007626395,,2005-02-03
476,994520,1,1999-12-18,ABAN,H007512766791,,1999-12-18
477,617686,2,2006-11-28,BOTH,W073455076868,,2006-11-28
478,19259,2,2007-08-08,WROM,K053655532422,,2007-08-08
479,110350,2,2003-12-14,AIND,M031904257479,,2003-12-14
480,676893,1,2002-08-14,ABAN,F075405406561,,2002-08-14
481,326293,1,2009-08-28,AOTH,H050087712692,,2009-08-28
482,903879,1,2000-02-11,AIND,D027929786093,,2000-02-11
483,549023,2,2005-07-05,APKN,P019900227986,,2005-07-05
484,60122,1,2003-10-17,WIRI,Z057252510554,,2003-10-17
485,213881,2,2007-01-10,BCRB,U083320502940,,2007-01-10
486,288064,1,2000-11-25,MWAS,H028794284724,,2000-11-25
487,984305,2,2002-09-21,MOTH,M032527292790,,2002-09-21
488,118889,2,2004-06-16,BAFR,H073378260636,,2004-06-16
489,783886,1,2007-03-13,WIRT,Q076702560466,,2007-03-13
490,864252,1,2002-03-17,MWBC,H094879522414,,2002-03-17
491,831861,1,2007-02-28,WIRI,A042025448322,,2007-02-28
492,681893,2,2005-10-14,BOTH,B051123714342,,2005-10-14
493,740754,2,2007-12-28,WBRI,L087775437262,,2007-12-28
494,306870,1,2003-10-26,REFU,O001367587323,,2003-10-26
495,96935,1,2002-07-18,CHNE,I062412483276,,2002-07-18
496,729233,2,2007-12-07,OOTH,G004964948238,,2007-12-07
497,804955,1,2006-05-09,REFU,D007056841913,,2006-05-09
498,334368,1,2006-04-03,AIND,L028792298768,,2006-04-03
499,558590,2,2009-08-29,WBRI,W020250502990,,2009-08-29
500,357220,1,2005-07-30,MWBA,X085070923823,,2005-07-30
501,156679,1,2006-03-04,BCRB,H037645540127,,2006-03-04
502,840802,1,2005-12-02,AOTH,O047182337980,,2005-12-02
503,427763,1,2009-09-10,MOTH,W026278043831,,2009-09-10
504,232564,1,2005-06-28,ABAN,Q062449963331,,2005-06-28
505,956636,2,2003-06-04,MWBA,S025285893876,,2003-06-04
506,533183,1,2004-10-23,NOBT,I014564225411,,2004-10-23
507,952289,1,2009-02-15,WBRI,A093384733452,,2009-02-15
508,50020,1,1999-08-31,WBRI,W003389954371,,1999-08-31
509,442750,2,2008-10-20,WIRT,Y053556022495,,2008-10-20
510,773003,1,2006-06-28,NOBT,B057901522761,,2006-06-28
511,959235,2,2003-07-01,BAFR,Z054464683471,,2003-07-01
512,530282,1,2007-04-29,WIRI,G024242807169,,2007-04-29
513,395766,2,2008-07-22,AIND,L055752633696,,2008-07-22
514,584671,2,2008-08-06,ABAN,Q072271036671,,2008-08-06
515,561041,2,1999-06-02,MOTH,A070684008218,,1999-06-02
516,673935,2,2007-11-11,WBRI,L095168493623,,2007-11-11
517,261040,1,2002-11-19,BAFR,T087895671986,,2002-11-19
518,435450,2,2002-04-21,WIRI,S006591523642,,2002-04-21
519,688510,2,2000-09-03,MWBA,V071934912242,,2000-09-03
520,684861,2,2008-10-20,BOTH,P071733871682,,2008-10-20
521,198564,1,2005-10-24,MWAS,P047275123481,,2005-10-24
522,69504,2,2008-06-23,OOTH,E075384745223,,2008-06-23
523,773456,1,2001-10-10,MWAS,E030983162950,,2001-10-10
524,448742,2,2001-06-23,MWAS,A076697046522,,2001-06-23
525,374389,1,2003-06-24,ABAN,V042733144571,,2003-06-24
526,965457,2,2000-06-15,MOTH,D091580550401,,2000-06-15
527,59856,1,2004-01-11,WIRI,I063792289283,,2004-01-11
528,802322,2,1999-11-21,MOTH,Z030990790855,,1999-11-21
529,552541,1,2009-09-23,REFU,G028589653879,,2009-09-23
530,298190,2,2005-03-04,WOTH,O066578018768,,2005-03-04
531,180759,1,2002-04-08,AIND,N000931516549,,2002-04-08
532,373218,2,2009-08-06,WIRT,H032761928047,,2009-08-06
533,289121,1,2006-10-09,AOTH,U090716398126,,2006-10-09
534,116646,2,2005-05-16,BCRB,Z034275681264,,2005-05-16
535,333439,1,2005-08-21,AOTH,S091540637620,,2005-08-21
536,534419,2,1999-11-07,MWBA,P050770842828,,1999-11-07
537,482840,2,2005-01-14,BOTH,A085653112086,,2005-01-14
538,48338,2,2001-05-30,MWBA,Y080945108691,,2001-05-30
539,507322,2,2008-01-04,WIRT,H097482181693,,2008-01-04
540,493904,2,2008-06-27,BOTH,D070136791602,,2008-06-27
541,499567,1,2001-02-20,MOTH,Y019814875489,,2001-02-20
542,724607,2,2003-07-05,BAFR,G047147987374,,2003-07-05
543,850847,2,2003-10-05,APKN,K082991898219,,2003-10-05
544,787064,1,2001-10-05,MWBA,X054946569046,,2001-10-05
545,973661,2,2000-06-10,BAFR,A014163972639,,2000-06-10
546,355602,1,2004-02-13,WBRI,G080686046097,,2004-02-13
547,550204,1,2007-01-18,WBRI,Z026532077112,,2007-01-18
548,311063,1,2009-05-28,WIRT,B007827604339,,2009-05-28
549,218168,2,2004-07-11,MWAS,M058030200934,,2004-07-11
550,877613,1,1999-12-28,MWBA,Z023127418896,,1999-12-28
551,515794,1,2004-07-11,BAFR,Q082542520820,,2004-07-11
552,474201,2,2005-12-30,MOTH,M032516090016,,2005-12-30
553,711540,1,2004-03-30,BAFR,O017666959736,,2004-03-30
554,98444,1,2006-06-29,WIRI,Z061458167893,,2006-06-29
555,204118,2,2001-10-21,AOTH,Y032357673917,,2001-10-21
556,60288,2,2006-07-29,OOTH,Q082280579417,,2006-07-29
557,670407,1,2008-12-15,BCRB,L056690140727,,2008-12-15
558,327334,2,2009-12-07,APKN,Y096852224921,,2009-12-07
559,588661,1,1999-10-24,WIRT,E004418934043,,1999-10-24
560,737726,2,2008-05-17,CHNE,L058670690614,,2008-05-17
561,58309,1,2000-12-30,REFU,V024405324654,,2000-12-30
562,648057,1,2009-06-28,CHNE,R040595683488,,2009-06-28
563,892330,2,2005-08-21,APKN,J034848297206,,2005-08-21
564,866837,1,2002-09-27,OOTH,K098828333896,,2002-09-27
565,905851,2,2006-04-01,REFU,T081707347824,,2006-04-01
566,854826,1,2001-02-12,ABAN,Y057584625644,,2001-02-12
567,659430,2,2003-04-10,AIND,Q064727194396,,2003-04-10
568,264289,1,2007-12-07,REFU,M018860799651,,2007-12-07
569,137917,1,1999-04-26,MWBC,U077502727049,,1999-04-26
570,694922,1,2002-07-19,REFU,P094406480310,,2002-07-19
571,573864,1,2008-02-20,BAFR,Q058358984984,,2008-02-20
572,92821,2,2008-12-29,MWBA,T057874843822,,2008-12-29
573,793347,1,2003-10-17,WOTH,G026331179666,,2003-10-17
574,553848,1,2008-02-22,NOBT,Q011320601641,,2008-02-22
575,87101,2,2007-12-07,MWBA,D020791159791,,2007-12-07
576,255201,1,2007-11-23,WIRT,A001522546263,,2007-11-23
577,4015,1,2003-12-06,NOBT,H085907469081,,2003-12-06
578,998328,1,2004-03-15,AIND,F032614785936,,2004-03-15
579,951969,1,2006-11-02,AOTH,V025993264806,,2006-11-02
580,335413,1,1999-05-09,WIRT,L074073518997,,1999-05-09
581,606708,2,2003-09-18,WOTH,I096058873391,,2003-09-18
582,928597,2,2007-07-29,MOTH,E056717634618,,2007-07-29
583,262711,2,2007-09-14,REFU,S081687881585,,2007-09-14
584,46916,1,2000-01-20,OOTH,A057493096586,,2000-01-20
585,441738,2,2006-09-10,MWAS,K019494509879,,2006-09-10
586,365147,1,2005-08-19,WROM,D054482601413,,2005-08-19
587,850642,2,2006-11-11,MWBA,D016985951833,,2006-11-11
588,336381,1,2007-12-11,REFU,P061591293396,,2007-12-11
589,693410,2,2003-12-24,WIRI,R004144869739,,2003-12-24
590,266902,1,2004-05-02,WROM,N052049038197,,2004-05-02
591,429851,2,2009-12-10,WIRI,F056611049461,,2009-12-10
592,143713,2,1999-09-23,AIND,Z034835288077,,1999-09-23
593,569034,1,1999-12-17,MWAS,E037495455112,,1999-12-17
594,844461,2,2000-11-04,BOTH,H014509840452,,2000-11-04
595,261594,2,2001-12-17,ABAN,H070321813646,,2001-12-17
596,769339,2,2009-09-18,BAFR,B065158472655,,2009-09-18
597,828914,1,2005-01-09,BOTH,G090174302979,,2005-01-09
598,219694,2,2009-06-01,AIND,Q023221822129,,2009-06-01
599,337901,1,2002-07-16,WBRI,C055411730399,,2002-07-16
600,505723,2,2002-07-06,MWBC,V012138539939,,2002-07-06
601,302681,1,2007-04-08,MOTH,U015583329525,,2007-04-08
602,119095,1,2007-12-05,BAFR,T057528386915,,2007-12-05
603,214178,1,2002-09-12,NOBT,P047203921014,,2002-09-12
604,981287,1,2003-01-26,MWBA,U058419588348,,2003-01-26
605,828277,2,2000-12-12,MWAS,E034730264997,,2000-12-12
606,830338,1,2006-05-24,AIND,X003972288085,,2006-05-24
607,349082,2,2006-05-14,CHNE,C047512541590,,2006-05-14
608,91711,2,2001-04-27,OOTH,Y016608683337,,2001-04-27
609,632442,1,2005-01-20,MOTH,O071795789800,,2005-01-20
610,373260,2,2008-09-21,MWBA,R018060330315,,2008-09-21
611,331462,1,2006-05-24,WIRT,C047798272664,,2006-05-24
612,836643,2,2004-11-22,MOTH,I030369349411,,2004-11-22
613,317665,2,2004-01-27,MWBA,S070754860013,,2004-01-27
614,84737,1,2004-04-21,WIRT,X025204130410,,2004-04-21
615,72501,2,2009-10-16,BOTH,V075603605092,,2009-10-16
616,603626,1,2001-09-22,BAFR,U007275899122,,2001-09-22
617,195764,2,2004-02-21,WROM,H049429355439,,2004-02-21
618,118049,1,2001-08-04,OOTH,N062161336466,,2001-08-04
619,909944,1,2002-04-13,WIRI,J023829992196,,2002-04-13
620,440549,2,2006-12-03,MWBA,B064037441287,,2006-12-03
621,885607,2,2005-07-18,MWBC,V063292840471,,2005-07-18
622,685625,1,2009-07-11,CHNE,L002667527262,,2009-07-11
623,792567,2,2001-02-15,WIRT,D097146090858,,2001-02-15
624,910378,1,2009-12-13,MWAS,B023913612090,,2009-12-13
625,713648,2,2002-10-01,MWBA,P062123386160,,2002-10-01
626,21847,1,2004-02-13,WROM,Z011993524554,,2004-02-13
627,330697,1,2009-10-12,MWBC,P029323305197,,2009-10-12
628,413915,2,2002-11-01,AIND,P031181789343,,2002-11-01
629,631575,1,2008-10-22,WROM,E099716520476,,2008-10-22
630,192668,1,2005-07-07,MWBC,N000335584658,,2005-07-07
631,223870,1,2000-09-16,WBRI,A066502969583,,2000-09-16
632,958862,2,2006-01-06,REFU,K062404066356,,2006-01-06
633,982154,2,2001-07-28,CHNE,I088088654954,,2001-07-28
634,409218,2,2001-12-31,BCRB,Z001327382724,,2001-12-31
635,29815,2,2003-09-28,ABAN,D087889917158,,2003-09-28
636,184308,1,2004-06-01,OOTH,F046420651728,,2004-06-01
637,393387,2,2006-01-29,WIRI,Z058876807681,,2006-01-29
638,841036,1,2008-11-19,AOTH,Q009377518128,,2008-11-19
639,453572,2,2004-06-27,MOTH,I026508187722,,2004-06-27
640,738397,1,2005-06-18,MWBC,S028882981078,,2005-06-18
641,720055,2,2003-02-03,WIRI,B088341487078,,2003-02-03
642,857997,1,2004-06-03,OOTH,R099220405597,,2004-06-03
643,247180,1,2005-08-12,WIRT,Z022464614432,,2005-08-12
644,738976,2,2008-02-02,WBRI,W075973478831,,2008-02-02
645,543132,1,2004-06-16,AIND,C086364535462,,2004-06-16
646,767605,2,2006-06-20,APKN,H022774668507,,2006-06-20
647,6415,1,2006-08-29,AIND,F033988734163,,2006-08-29
648,629818,1,2002-08-11,WIRT,M008861077199,,2002-08-11
649,765303,1,2008-04-10,MWAS,J024161603617,,2008-04-10
650,648222,1,2003-04-16,WBRI,N051938630525,,2003-04-16
651,459307,2,2000-05-02,WROM,H003790219125,,2000-05-02
652,21593,2,2001-11-04,MOTH,H056122346822,,2001-11-04
653,380303,2,2005-06-19,BOTH,X086286406785,,2005-06-19
654,143799,2,2008-02-24,REFU,N099059840895,,2008-02-24
655,679379,2,2004-07-08,REFU,X088523347089,,2004-07-08
656,296330,1,2000-07-01,ABAN,Y023641166286,,2000-07-01
657,817314,1,2007-10-12,OOTH,R088751549292,,2007-10-12
658,427390,1,2006-10-16,WROM,N015660778822,,2006-10-16
659,211186,1,1999-10-02,BCRB,W010430290132,,1999-10-02
660,843355,1,2001-06-03,OOTH,I006373681023,,2001-06-03
661,830831,1,2002-08-28,BOTH,C027037849579,,2002-08-28
662,680465,1,2002-06-16,REFU,Z091718254796,,2002-06-16
663,564323,1,2004-12-28,OOTH,J010236504815,,2004-12-28
664,101362,1,2008-02-12,MWBA,M099454790630,,2008-02-12
665,834242,2,2004-10-29,AIND,R094502193405,,2004-10-29
666,201733,1,2002-07-19,MOTH,I099833991726,,2002-07-19
667,903664,2,2000-09-05,MWBA,L087268007291,,2000-09-05
668,246302,1,2002-09-21,AIND,S037303310675,,2002-09-21
669,679728,2,2002-05-17,BOTH,D058339201817,,2002-05-17
670,802543,2,2003-04-05,MOTH,O055717133865,,2003-04-05
671,71212,1,2005-10-21,MWBC,Z001925542051,,2005-10-21
672,612940,1,2005-11-24,WOTH,A003822305686,,2005-11-24
673,617426,2,2004-11-30,ABAN,D088284312670,,2004-11-30
674,717687,2,2004-06-24,WOTH,N011344330592,,2004-06-24
675,98753,1,2002-08-29,WROM,P032701593144,,2002-08-29
676,106241,1,2006-12-24,OOTH,U024318220169,,2006-12-24
677,420134,1,2002-11-01,MWAS,S031429852674,,2002-11-01
678,635964,2,2008-08-04,WBRI,O063156840393,,2008-08-04
679,21038,1,2005-11-11,BCRB,D015126848618,,2005-11-11
680,384546,1,2005-04-09,BCRB,W096341189408,,2005-04-09
681,815720,2,2005-05-24,WIRT,W098983056554,,2005-05-24
682,133330,2,2002-03-31,WIRT,X002546712092,,2002-03-31
683,688239,2,2009-05-09,WOTH,B027288022182,,2009-05-09
684,859568,1,2000-12-29,BAFR,K087510181640,,2000-12-29
685,894785,1,2008-05-21,WIRT,V058982866516,,2008-05-21
686,645812,1,2004-09-16,MOTH,F075071248480,,2004-09-16
687,704159,1,2009-06-11,WIRI,K002117379100,,2009-06-11
688,55690,2,2004-02-13,WROM,W004180259783,,2004-02-13
689,981762,2,2005-10-30,NOBT,G084415391904,,2005-10-30
690,116392,2,2004-08-25,WIRI,V061477231366,,2004-08-25
691,276172,2,2000-06-04,AOTH,M018222253845,,2000-06-04
692,822438,2,2004-02-26,ABAN,W037742180756,,2004-02-26
693,115254,2,2000-08-28,BOTH,I006900533424,,2000-08-28
694,795289,2,2009-03-26,WBRI,G001550240323,,2009-03-26
695,413831,2,2002-05-20,CHNE,E085513080158,,2002-05-20
696,479546,2,2004-06-20,WROM,T023616009919,,2004-06-20
697,639837,2,2007-05-22,BCRB,Y009937814893,,2007-05-22
698,869871,2,2006-09-28,MWAS,M070280700021,,2006-09-28
699,598618,1,1999-11-03,REFU,Y052328073009,,1999-11-03
700,882936,2,2002-06-08,WOTH,K009074692690,,2002-06-08
701,826987,1,2000-02-15,WIRI,I020397610369,,2000-02-15
702,238852,1,2004-07-26,NOBT,O008745492719,,2004-07-26
703,983227,2,2000-08-05,ABAN,E077707519338,,2000-08-05
704,476742,1,2003-06-29,WIRI,N078979811018,,2003-06-29
705,316873,1,2005-03-28,APKN,U062212401346,,2005-03-28
706,958973,2,2008-04-27,MOTH,S084418134942,,2008-04-27
707,414394,1,1999-07-03,WOTH,R094851750038,,1999-07-03
708,878043,2,2002-10-13,AIND,P002609187593,,2002-10-13
709,230497,1,2004-09-20,WROM,R032921144951,,2004-09-20
710,836390,1,2006-02-04,MWBC,W045004812806,,2006-02-04
711,694321,1,2006-11-01,WBRI,B043205315537,,2006-11-01
712,285207,1,2006-11-06,MWBC,J057682867771,,2006-11-06
713,208004,1,2008-08-10,OOTH,V073576679486,,2008-08-10
714,567517,1,2005-03-12,WIRI,L053339980268,,2005-03-12
715,343472,1,2007-06-26,MWAS,F075406699344,,2007-06-26
716,650517,2,2002-08-05,BOTH,I066611395168,,2002-08-05
717,745488,2,2001-12-15,WIRI,L046180296064,,2001-12-15
718,116483,2,2006-12-02,OOTH,A022422991124,,2006-12-02
719,86668,2,2007-02-04,AOTH,Y077084356283,,2007-02-04
720,54625,1,2000-10-29,REFU,M087837946801,,2000-10-29
721,515563,2,2000-02-11,BOTH,M004643261001,,2000-02-11
722,468377,2,2009-08-04,MWAS,Q025084983164,,2009-08-04
723,628941,2,2006-10-11,MWBA,L055166112691,,2006-10-11
724,499660,1,2000-07-30,WOTH,V077510012863,,2000-07-30
725,369699,2,2009-07-10,AOTH,O025381805764,,2009-07-10
726,853697,1,2004-09-23,WBRI,X099732345480,,2004-09-23
727,667283,1,1999-12-05,BOTH,J035772430406,,1999-12-05
728,369488,2,2001-09-12,MWBC,N054210575389,,2001-09-12
729,448400,2,2007-01-07,MWBC,B087398548399,,2007-01-07
730,12539,2,2000-04-22,MWBC,Z091166982083,,2000-04-22
731,64562,2,2002-06-17,MWBA,O006555315645,,2002-06-17
732,534492,2,2006-08-17,MOTH,Y048194690939,,2006-08-17
733,994285,2,2006-01-13,MWAS,P011370238806,,2006-01-13
734,582281,2,2000-07-01,ABAN,R025959460025,,2000-07-01
735,372509,2,2009-07-23,CHNE,B094429243485,,2009-07-23
736,73205,2,2002-12-05,WIRI,N079152124384,,2002-12-05
737,84450,2,2000-08-30,WOTH,A057651213509,,2000-08-30
738,655772,2,2005-07-04,WBRI,W081625066459,,2005-07-04
739,163267,2,2007-07-09,ABAN,V094699942403,,2007-07-09
740,610919,1,2002-06-04,BAFR,M073610154144,,2002-06-04
741,186596,2,2008-10-12,AIND,W021307552990,,2008-10-12
742,379507,2,2003-08-12,OOTH,T026518202090,,2003-08-12
743,245022,2,2004-05-30,BOTH,R028495108112,,2004-05-30
744,979997,1,2006-08-26,BOTH,W040869565659,,2006-08-26
745,933360,1,2007-06-16,BOTH,P008714621502,,2007-06-16
746,389737,2,2004-03-25,WROM,B057672892489,,2004-03-25
747,31063,1,2000-10-19,BAFR,G020745464297,,2000-10-19
748,520411,2,2006-10-19,BAFR,K081122728594,,2006-10-19
749,671612,1,2001-06-04,BAFR,C008556062278,,2001-06-04
750,442704,1,2003-09-22,REFU,S075767370222,,2003-09-22
751,91132,1,2001-10-22,MWAS,A050801953481,,2001-10-22
752,94030,2,1999-12-08,WBRI,E036684181573,,1999-12-08
753,739118,1,2005-08-13,AOTH,X008493014804,,2005-08-13
754,958808,1,2001-01-31,BOTH,U025056158245,,2001-01-31
755,86704,1,2007-08-29,NOBT,E014150029773,,2007-08-29
756,687605,2,2009-05-19,AIND,O058569223152,,2009-05-19
757,176514,1,2004-12-12,BOTH,W054506147541,,2004-12-12
758,954202,2,2004-09-10,AOTH,X051743978002,,2004-09-10
759,221218,2,2006-06-26,APKN,V011325960248,,2006-06-26
760,990787,2,2003-07-27,WIRI,T044014424407,,2003-07-27
761,362033,2,2004-08-16,WIRT,D060707064018,,2004-08-16
762,34153,2,2008-07-29,WROM,B074698293514,,2008-07-29
763,979155,1,2008-07-13,MWBC,K052932971782,,2008-07-13
764,447690,1,2008-03-10,AOTH,N042829836086,,2008-03-10
765,571830,2,2005-03-04,MWAS,F010619698203,,2005-03-04
766,34663,1,1999-07-26,BAFR,G047929985650,,1999-07-26
767,287890,2,2000-04-14,OOTH,X093167654895,,2000-04-14
768,656076,1,2007-09-04,BAFR,C014158485608,,2007-09-04
769,679022,1,2002-11-30,WIRT,O008874923542,,2002-11-30
770,67832,1,2008-12-30,WIRI,A004555658381,,2008-12-30
771,266915,2,2008-07-20,BOTH,U048276099725,,2008-07-20
772,343805,2,2005-05-05,MWAS,W027514086953,,2005-05-05
773,756853,2,2006-06-23,BOTH,C097398776303,,2006-06-23
774,159388,2,2005-04-11,WROM,Q056192525057,,2005-04-11
775,782906,1,2000-11-27,AOTH,H035065538760,,2000-11-27
776,266650,1,2006-09-11,APKN,Y007951826550,,2006-09-11
777,339147,2,2009-03-02,WROM,A096561183348,,2009-03-02
778,604407,1,2008-05-30,BAFR,B079431354612,,2008-05-30
779,334240,1,2005-08-18,MWBA,Q040390519903,,2005-08-18
780,147816,1,2001-12-07,WIRT,O081284825129,,2001-12-07
781,276079,1,2002-11-27,MWBA,M014438865898,,2002-11-27
782,95496,1,2005-07-05,REFU,W009311520350,,2005-07-05
783,960186,2,2007-01-14,MWBA,F041131784225,,2007-01-14
784,208084,2,1999-06-26,BAFR,X064975542450,,1999-06-26
785,415235,2,2001-05-28,AOTH,D091967128218,,2001-05-28
786,406846,2,2009-04-17,MWBC,W043370432142,,2009-04-17
787,87322,2,2002-02-27,MWAS,M005696971224,,2002-02-27
788,234842,1,2001-03-17,BCRB,F098782730512,,2001-03-17
789,496063,2,2007-04-04,ABAN,D095980736334,,2007-04-04
790,633285,1,2006-09-09,WROM,N051625436170,,2006-09-09
791,814087,1,2007-07-03,BCRB,T040175073106,,2007-07-03
792,16960,1,2009-03-12,APKN,V024089230359,,2009-03-12
793,295116,2,2006-08-31,MOTH,X091944716008,,2006-08-31
794,323056,2,2002-09-26,OOTH,E041567474777,,2002-09-26
795,297403,2,2004-12-21,AOTH,Y044995074588,,2004-12-21
796,309655,1,2006-06-04,REFU,A072993740270,,2006-06-04
797,661349,1,2002-07-02,MWBC,O005633876328,,2002-07-02
798,636479,2,2008-07-15,MWAS,I021092728856,,2008-07-15
799,360252,1,2009-12-08,REFU,C004589643761,,2009-12-08
800,166761,2,2008-12-19,WIRT,D020659109925,,2008-12-19
801,588334,2,2002-05-30,AOTH,D044329249646,,2002-05-30
802,571007,2,2009-09-22,AOTH,X004460631323,,2009-09-22
803,869102,1,2008-12-03,WIRI,X078063122799,,2008-12-03
804,988280,2,2008-04-09,AOTH,P008164917573,,2008-04-09
805,790932,2,2007-05-19,AIND,F071705499395,,2007-05-19
806,247698,2,2004-05-18,WBRI,L073046772523,,2004-05-18
807,853700,2,2004-01-14,WBRI,E068721878684,,2004-01-14
808,975004,1,2008-10-06,MWBA,Z055305609394,,2008-10-06
809,865383,1,2008-02-04,BAFR,A077977856248,,2008-02-04
810,528962,2,2004-11-10,BAFR,T061793193706,,2004-11-10
811,117430,1,2002-11-11,WBRI,H057389141678,,2002-11-11
812,88024,1,2008-02-05,MWAS,S051040920649,,2008-02-05
813,827864,1,2002-02-05,WIRT,R046681309258,,2002-02-05
814,569582,2,2005-03-31,MOTH,B077382719036,,2005-03-31
815,443989,2,2009-03-24,MWAS,M011912690537,,2009-03-24
816,440902,2,2003-06-14,APKN,U076369686743,,2003-06-14
817,820261,2,2001-08-15,NOBT,O050327186695,,2001-08-15
818,548319,1,2006-10-13,AOTH,T012348497871,,2006-10-13
